ds;country;polygon_source;polygon_id;polygon_name;tiles_visited_related_change;ratio_single_tile_users;baseline_name;baseline_type
15/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.00572;0.19884;full_february;DAY_OF_WEEK
04/03/2020;IDN;GADM;IDN.9.2_1;Bandung;0.00584;0.17716;full_february;DAY_OF_WEEK
18/08/2020;IDN;GADM;IDN.9.2_1;Bandung;0.00795;0.19736;full_february;DAY_OF_WEEK
05/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.01947;0.19703;full_february;DAY_OF_WEEK
16/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.0208;0.19838;full_february;DAY_OF_WEEK
12/03/2020;IDN;GADM;IDN.9.2_1;Bandung;0.02317;0.17649;full_february;DAY_OF_WEEK
30/07/2020;IDN;GADM;IDN.9.2_1;Bandung;0.02353;0.19491;full_february;DAY_OF_WEEK
07/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.02413;0.20886;full_february;DAY_OF_WEEK
01/03/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.02482;0.18481;full_february;DAY_OF_WEEK
05/03/2020;IDN;GADM;IDN.9.2_1;Bandung;0.02746;0.18554;full_february;DAY_OF_WEEK
02/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.02803;0.19658;full_february;DAY_OF_WEEK
01/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.02887;0.19955;full_february;DAY_OF_WEEK
14/03/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.03007;0.18717;full_february;DAY_OF_WEEK
08/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.0335;0.19727;full_february;DAY_OF_WEEK
13/03/2020;IDN;GADM;IDN.9.2_1;Bandung;0.03424;0.16677;full_february;DAY_OF_WEEK
11/03/2020;IDN;GADM;IDN.9.2_1;Bandung;0.03514;0.17063;full_february;DAY_OF_WEEK
06/03/2020;IDN;GADM;IDN.9.2_1;Bandung;0.03731;0.17161;full_february;DAY_OF_WEEK
19/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.04024;0.20364;full_february;DAY_OF_WEEK
04/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.04141;0.20984;full_february;DAY_OF_WEEK
08/03/2020;IDN;GADM;IDN.9.2_1;Bandung;0.04168;0.16794;full_february;DAY_OF_WEEK
11/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.04238;0.20708;full_february;DAY_OF_WEEK
10/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.04607;0.19808;full_february;DAY_OF_WEEK
25/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.04887;0.20892;full_february;DAY_OF_WEEK
